CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2010-1,3,2010-3,113,119,15561.550000000016,3711.27
2010-1,4,2010-4,111,120,15616.09000000002,3719.1700000000005
2010-1,5,2011-1,80,87,12533.900000000009,3180.81
2010-1,6,2011-2,75,79,8023.15999999999,2022.3899999999992
2010-1,7,2011-3,85,94,13942.910000000007,3338.7400000000002
2010-1,8,2011-4,73,85,12061.28000000001,3207.5400000000004
2010-1,9,2012-1,79,84,7922.389999999992,1933.3599999999997
2010-1,10,2012-2,67,73,8754.039999999997,2021.4199999999996
2010-1,11,2012-3,61,69,8675.739999999993,1991.57
2010-1,12,2012-4,41,48,6112.019999999995,1416.7399999999993
2010-1,13,2013-1,53,62,4401.919999999998,1380.7200000000005
2010-1,14,2013-2,31,34,4316.549999999999,784.2500000000001
2010-1,15,2013-3,33,33,3301.77,734.25
2010-1,16,2013-4,23,25,3633.419999999999,642.62
2010-1,17,2014-1,14,14,1209.0900000000001,325.05
2010-1,18,2014-2,32,34,4370.5599999999995,1060.99
2010-1,19,2014-3,23,23,2934.8599999999997,770.4
2010-1,20,2014-4,21,23,3277.4699999999993,777.7000000000002
2010-1,21,2015-1,17,21,2530.34,511.58
2010-1,22,2015-2,18,21,3827.189999999999,741.7199999999999
2010-1,23,2015-3,17,17,3650.83,617.48
2010-1,24,2015-4,18,18,2510.96,414.51
2010-1,25,2016-1,5,5,737.6999999999999,122.82999999999998
2010-1,26,2016-2,13,14,818.3600000000001,223.37
2010-1,27,2016-3,11,13,2071.8500000000004,467.79999999999995
2010-1,28,2016-4,10,10,584.98,156.67999999999998
2010-1,29,2017-1,5,5,981.16,195.61
2010-1,30,2017-2,14,14,2371.0600000000004,527.33
2010-1,31,2017-3,3,3,439.84000000000003,75.6
2010-2,1,2010-2,1859,2227,342332.32000000187,59709.34000000006
2010-2,2,2010-3,222,239,34233.350000000086,6747.469999999999
2010-2,3,2010-4,196,209,27914.820000000076,5940.669999999996
2010-2,4,2011-1,103,109,13912.850000000019,3087.939999999999
2010-2,5,2011-2,110,119,18490.870000000024,3177.6999999999985
2010-2,6,2011-3,135,144,19375.040000000037,4209.780000000001
2010-2,7,2011-4,120,127,11903.850000000008,3237.709999999999
2010-2,8,2012-1,116,128,13078.270000000011,3061.6899999999987
2010-2,9,2012-2,119,126,20490.160000000036,3956.25
2010-2,10,2012-3,129,139,19113.370000000028,4611.39
2010-2,11,2012-4,80,87,9966.449999999993,2510.5
